Name,Duplicate,Spellings_semicolon_separated,Aliases
Eddinaya,FALSE,,
Eddināya,FALSE,,
Edin-Aššur,TRUE,e-dí-in-a-šùr,
Edin-Aššur,TRUE,e-dí-in-a-šùr; e-dí-in-da-šùr,
Edina,FALSE,,
Edinum,FALSE,,
Ehašra,FALSE,E-ha-áš-ra,
Ehliadu,FALSE,Eh-li-a-du,
Ehue,FALSE,E-hu-e,
Eka,FALSE,,
Ekia,FALSE,E-ki-a,
Ela,TRUE,E-lá,
Ela,TRUE,E-lá; E-lá-a; E-lá-a-a,
Ela-Suen,FALSE,E-lá-Sú-in,
Elaip,FALSE,E-lá-ip,
Elali,TRUE,e-lá-li,
Elali,TRUE,E-lá-lí,
Elāli,FALSE,E-lá-li; E-lá-lí,
Elālia,FALSE,,
Elališar,FALSE,e-la-li-šar,
Elaliya,FALSE,E-lá-li-a,
Elamma,FALSE,E-la-ma; E-lá-ma; E-lam-ma,
Elani,FALSE,e-lá-ni,
Elaniuman,FALSE,e-lá-ni-ú-ma-an,
Elānum,FALSE,,
Elanuma,FALSE,e-la-nu-ma,
Elaya,FALSE,,
Elbata,FALSE,El-ba-ta,
Eli,FALSE,E-li,
Eli-atta,FALSE,e-li-at-ta,
Elia,FALSE,,
Eliahšušar,FALSE,e-li-ah-šu-ša-ar,
Elirakuni,FALSE,E-li-ra-ku-ni,
Elišaki,FALSE,e-li-ša-ki,
Elišru,FALSE,e-lí-iš-ru,
Ellat-Suen,FALSE,ILLAT-sú-in,
Elumanum,FALSE,E-lu-ma-num,
Elunum,TRUE,e-lu-nim,
Elunum,TRUE,e-lu-nim; e-lu-n[am],
Emaya,FALSE,e-ma-a,
Ememe,TRUE,E-me-me,
Ememe,TRUE,E-me-me; I-me-me; E-e-me-me; E-me-me -i,
Emeni,FALSE,e-me-ni,
Emerši,FALSE,E-me-er-ší,
Emertum,FALSE,,
Emia,FALSE,e-mì-a,
Emmertum,FALSE,E-me-er-tim,
Emqum,FALSE,Em-qí-im,
Emua,FALSE,e-mu-a,
Emūqī-Aššur,FALSE,e-mu-qí-a-šur,
En-na-a,FALSE,,
En-na-a-ni,FALSE,,
En-um-a,FALSE,,
Ena-Suen,FALSE,e-na-sú-in,
Enabašat,FALSE,E-na-ba-ša-at,
Enah-ilī,FALSE,,
Enam,FALSE,E-nam,
Enam-Anum,TRUE,e-nam-a-nim,
Enam-Anum,TRUE,e-nam-a-nim; e-nam-a-num,
Enam-Aššur,TRUE,e-nam-da-šùr,
Enam-Aššur,TRUE,e-nam-da-šùr; e-nam-a-šùr,
Enama-Aššur,FALSE,E-na-ma-A-šur,
Enān-ilīšu,FALSE,E-na-ni-lí-šu,
Enanim,FALSE,e-na-nim,
Enareṣu,FALSE,E-na-re-ṣú-ú; E-na-re-ṣú-um,
Enaza,FALSE,e-na-za,
Eni-<big_gap>,FALSE,e-ni-<big_gap>,
Enibaš,FALSE,en-ib-aš,
Enibāš,FALSE,E-ni-ba-áš,
Enibašat,FALSE,,
Enilka,TRUE,E-ni-el-kà,
Enilka,TRUE,e-ni-il5-kà,
Enišar,FALSE,,
Enišarum,FALSE,,
Enišbirum,FALSE,,
Enišru,FALSE,E-ni-iš-ru,
Eništarum,FALSE,E-ni-iš-ta-ru-um,
Enlil-bani,FALSE,,
Enlil-bāni,FALSE,{d}EN.LÍL-ba-ni,
Enlil-ilī,FALSE,en-lil-DINGIR,
Enlil-mālik,FALSE,en-lil-ma-lik,
Enlil-nādā,FALSE,en-lil-na-da,
Enlil-nāṣir,FALSE,en-lil-na-ṣir,
Enlil-rēṣī,FALSE,en-lil-re-ṣí,
Enna-Aššur,FALSE,,
Enna-bašat,FALSE,E-na-ba-ša-[at],
Enna-Bēlī,FALSE,E-nu-Be-lim,
Enna-Belum,FALSE,,
Enna-Bēlum,FALSE,,
Enna-Dagān,FALSE,E-nu-Da-ga-an,
Enna-gamil,FALSE,,
Enna-Kubabat,FALSE,En-nu-um-Ku-ba-ba-at,
Enna-Šamaš,FALSE,,
Enna-Šarra,FALSE,En-nam-ša-ra,
Enna-Suen,TRUE,e-na-sú-in,
Enna-Suen,TRUE,En-na-Sú-en,
Enna-Suen,TRUE,En-na-Sú-en6,
Enna-Suen,TRUE,En-na-Sú-in,
Enna-Suen,TRUE,En-na-Sú-in; I-na-Sú-in,
Enna-Wēr,TRUE,En-nam-We-er,
Enna-Wēr,TRUE,En-nam-We-er; En-nu-um-We-er,
Enna-Za,FALSE,E-na-za,
Ennada,FALSE,en-na-da,
Ennam-abu,FALSE,En-um-a-bu,
Ennam-Adad,FALSE,En-um-{d}IM,
Ennam-Ana,FALSE,e-nu-um-a-na,
Ennam-Anum,FALSE,E-na-ma-nim,
Ennam-Aššur,TRUE,E-na-A-šur,
Ennam-Aššur,TRUE,En-nam-A-šur,
Ennam-Aššur,TRUE,En-nam-A-šùr,
Ennam-Aššur,TRUE,En-um-A-šur/šùr; En-nam-A-šùr; E-na-A-šur; E-um-A-šur,
Ennam-Ea,FALSE,E-nu-me-a,
Ennam-ilī,TRUE,En-um-DINGIR,
Ennam-ilī,TRUE,En-um-DINGIR; En-um-ì-lí,
Ennam-ilī,TRUE,En-um-ì-lí,
Ennam-ilīšu,FALSE,,
Ennam-Ištar,FALSE,En-um-Ištar,
Ennam-Ištarum,FALSE,E!-nu-um-Iš-ta-ru-um,
Ennam-rēṣī,FALSE,e-nam-re-ṣí,
Ennam-rēṣum,FALSE,En-nu-re-ṣa-ma,
Ennam-Wer,FALSE,,
Ennam-Wēr,FALSE,en-nam-we-er,
Ennamanum,FALSE,,
Ennamaya,FALSE,,
Ennamāya,TRUE,E-na-ma-a,
Ennamāya,TRUE,E-nam-a-a; E-na-ma; E-na-ma-a; En-um-a-a; I-nu-ma-a,
Ennamil,FALSE,,
Ennananatum,FALSE,,
Ennanāt-Aššur,FALSE,E-na-na-at-,
Ennanātum,FALSE,E-na-na-tum,
Ennani,FALSE,en-na-ni,
Ennania,FALSE,E-na-ni-a,
Ennaniya,FALSE,,
Ennanum,FALSE,,
Ennānum,FALSE,En/E-na-num; En-na-nu-um,
Ennarawa,FALSE,En-na-ra-wa,
Ennasuen,FALSE,en-na-sú-en6,
Ennātum,FALSE,,
Ennāya,FALSE,,
Ennu-Aššur,FALSE,,
Ennu-Belum,FALSE,,
Ennu-nabiš,FALSE,en-nu-na-bí-iš,
Ennugamil,FALSE,E-nu-ga-me-el,
Ennum-a-a,FALSE,,
Ennum-Adad,FALSE,,
Ennum-Aššur,FALSE,,
Ennum-Bēlum,FALSE,,
Ennum-Dagan,FALSE,,
Ennum-ili,FALSE,,
Ennum-ilī,FALSE,,
Ennum-Ištar,TRUE,en-num-Ištar,
Ennum-Ištar,TRUE,en-num-Ištar; en[-num]-Ištar,
Ennum-Šamaš,FALSE,,
Ennum-Wer,FALSE,,
Enua,FALSE,E-nu-a,
Enuarši,FALSE,e-nu-ar-ší,
Enugami,FALSE,E-nu-ga-me,
Enuhši,FALSE,,
Enukami,FALSE,e-nu-ka-mi,
Enuki,FALSE,E-nu-ki,
Enum-Aššur,TRUE,En-um-A-šur,
Enum-Aššur,TRUE,En-um-A-šùr,
Enum-Aššur,TRUE,en-um-a-šùr; [en]-nam-a-šùr,
Enum-Aššur,TRUE,En-um-A-šùr; en-um-a-šur,
Enunia,FALSE,E-nu-ni-a,
Epirna,FALSE,E-pì-ir-na,
Epiš-ili,FALSE,,
Eradi,FALSE,E-ra-dí/ti; E-ra-dim,
Eradum,FALSE,,
Erama,FALSE,e-ra-ma,
Erbī-Adad,FALSE,er-bí-IŠKUR,
Erbī-Aššur,FALSE,er-bí-a-šur,
Eri-ilum,FALSE,,
Erimatal,FALSE,,
Erimuša,FALSE,,
Eriria,FALSE,E-ri-ri-a,
Erišti,FALSE,er-iš-ti,
Erišum,FALSE,I-ri-šu-um; I-ri-šum; I-ri-ší-im,
Erišum I,FALSE,I-ri-šu-um; I-ri-šum; I-ri-ší-im,
Erišum II,FALSE,I-ri-šu-um; I-ri-šum; I-ri-ší-im,
Erni,FALSE,er-ni,
Erra-dān,TRUE,E-ra-da-an; Ir-ra-dan; Ìr-ra-dan,
Erra-dān,TRUE,Ir-ra-dan,
Erra-ilī,FALSE,èr-ra-ili5,
Erra-ṣulūlī,FALSE,Ìr-ra-ANDUL,
Errāya,FALSE,Er-ra-a; Ìr-ra-a; E-ra-a; Ir-ra,
Eršu-mālik,FALSE,Er-šu-ma-lik,
Erwišarrum,FALSE,,
Ešara,FALSE,E-ša-ra,
Ešartum,FALSE,,
Ešu-bāni,FALSE,,
Ešu-malik,FALSE,E-šu-um-ma-lik,
Etallum,FALSE,E-ta-lúm,
Etari,FALSE,E-ta-ri,
Etatum,FALSE,E-ta-tim,
Etaya,FALSE,e-ta-a,
Etel-pī-Amurrim,FALSE,,
Etel-pī-Aššur,FALSE,e-té-el-pí-a-šùr,
Ewanika,TRUE,E-wa-ni-kà,
Ewanika,TRUE,e-wa-ni-kà; [e-]wa-[ni-kà],
Ewari,FALSE,E-wa-ri,
Ewari-kārim,FALSE,,
Ewaria,FALSE,E-wa-ri-a,
Ewarikum,FALSE,E-wa-ri-ki-im,
Ewarimadal,FALSE,E-wa-ri-ma-da-al,
Ewarimuša,FALSE,E-wa-ri-mu-ša; E-[r]a-mu-ša 94/k 959,
Ewarkarim,FALSE,E-wa-ri-kà-ri-im,
Ewarnum,FALSE,E-wa-ar-nim; E-we-er-nim,
Ewirni,FALSE,E-we-er-ni; E-er-ni,
Ewri-Šarruma,FALSE,Er-wa-LUGAL,
Eze(a),FALSE,,
Ezi,FALSE,E-zi; E-zi-e,
Ga-a-a-tí-im,FALSE,Ga-a-a-tí-im,
Ga-a-áb-e-im,FALSE,Ga-a-áb-e-im,
Ga-a-tí-im,FALSE,Ga-a-tí-im,
Ga-a-tim,FALSE,Ga-a-tim,
Ga-ak-zi-a,FALSE,Ga-ak-zi-[a],
Ga-al-ga-li-a,FALSE,Ga-al-ga-li-a,
Ga-ma-li-a,FALSE,Ga-ma-li-a,
Ga-ra-a,FALSE,Ga-ra-a,
Ga-ru-wa,FALSE,Ga-ru-wa,
Ga-zu-a,FALSE,Ga-zu-a,
Ga-zu-ga,FALSE,Ga-zu-ga,
Ga-zu-wa,FALSE,Ga-zu-wa,
Gabazi,FALSE,,
Gabria,FALSE,,
Gabzia,FALSE,,
Gadagada,FALSE,ga-da-ga-da,
Gadudu,FALSE,ga-du-du,
Gala,FALSE,,
Galaga,FALSE,ga-lá-ga,
Galgalalani,FALSE,ga-al-ga-lá-lá-ni,
Galgalia,FALSE,,
Galia,FALSE,ga-li-a,
Gallabum,FALSE,,
Gallābum,FALSE,Ga-lá-bu-um; Ga-lá-bi-im,
Galua,FALSE,ga-lu-a,
Galubati,FALSE,,
Galuku,FALSE,,
Galume,FALSE,,
Galzi,FALSE,{m}ga-al-zi,
Gamali,FALSE,,
Gamalia,FALSE,,
Garala,FALSE,,
Garašuna,FALSE,ga-ra-šu-na,
Garašunua,FALSE,,
Garawa,FALSE,,
Garia,FALSE,,
Garnalati,FALSE,,
Garwa-<gap>,FALSE,,
Garwaya,FALSE,,
Gatum,FALSE,,
Gawaya,FALSE,,
Gayatum,FALSE,,
Gazaza,FALSE,,
Gazia,FALSE,,
Gazuba,FALSE,,
GEME-Nunu,FALSE,GEME-Nu-nu,
Gimarnala,FALSE,gi-mar-na-lá,
Gua,FALSE,Gu-a,
Gungunum,FALSE,Ku-un-ku-nim,
Guzum,FALSE,Gu-zu-um,
Ha-ar-hi-a,FALSE,Ha-ar-hi-a,
Ha-ar-šu-um-na-al-kà,FALSE,Ha-ar-šu-um-na-al-kà,
Ha-at-ra-áš-na,FALSE,Ha-at-ra-áš-na,
Ha-ba-ar,FALSE,Ha-ba-ar,
Ha-ba-ar-áš-tí,FALSE,Ha-ba-ar-áš-tí,
Ha-ba-zi,FALSE,Ha-ba-zi,
Ha-da-a,FALSE,Ha-da-a,
Ha-da-a-ni,FALSE,Ha-da-a-ni,
Ha-da-i-ni,FALSE,Ha-da-i-ni,
Ha-dí,FALSE,Ha-dí,
Ha-dí-a-ni,FALSE,Ha-dí-a-ni,
Ha-dí-ni,FALSE,Ha-dí-ni,
Ha-du-a,FALSE,Ha-du-a,
Ha-lá-a,FALSE,Ha-lá-a,
Ha-ni-a-nim,FALSE,Ha-ni-a-nim,
Ha-ta-nim,FALSE,Ha-ta-nim,
Ha-zi-<gap>,FALSE,Ha-z[i-x],
Ha’api,FALSE,ha-a-a-pì,
Haba,FALSE,Ha-ba; Ha-ba-a,
Hababa,FALSE,ha-ba,
Habalia,FALSE,ha-pá-li-a,
Habatali,FALSE,ha-ba-ta-li,
Habati,FALSE,Ha-ba-tí,
Habatum,FALSE,Ha-ba-tim,
Habazi,FALSE,Ha-ba-zi; Hu-bu-zi,
Habdunua,FALSE,Ha-áp-tù-nu-wa,
Habi,FALSE,Ha-be; Ha-bi; Ha-bi-i,
Habia,FALSE,,
Habianum,FALSE,,
Habtuniš,FALSE,,
Habuahšušar,FALSE,,
Habuala,FALSE,,
Habuama,FALSE,Ha-pu-a-ma,
Habuanika,FALSE,,
Habuaššu,FALSE,,
Habuašu,FALSE,,
Habula,FALSE,,
Habuma,FALSE,,
Habušar,FALSE,,
Had[aya]ni,FALSE,,
Hadadi,FALSE,,
Hadadum,FALSE,Ha-da-dum; Ha-da-dí-im,
Hadahada,FALSE,Ha-da-ha-da,
Hadani,FALSE,,
Hadanum,FALSE,,
Hadaya,FALSE,Ha-da-a,
Hadi,FALSE,ha-di,
Hadia,FALSE,Ha-dí-a,
Hadia-<gap>,FALSE,ha-dí-a-x,
Hadiani,FALSE,ha-di-a-ni,
Hādiānum,TRUE,Ha-da-a-ni,
Hādiānum,TRUE,Ha-dí-ni; Ha-dí-a-ni; Ha-da-a-ni; Ha-da-nim,
Hadiar,FALSE,,
Hadiašu,FALSE,,
Hadikur,FALSE,ha-dí-ku-ur-ma,
Hadili,FALSE,Ha-dí-li,
Hadiri,FALSE,Ha-dí-ri-i,
Haditum,FALSE,Ha-dí-tim,
Hadiu,FALSE,ha-dí-ú,
Hadium,FALSE,Ha-dí-ú; Ha-dí-e-em,
Hadu,FALSE,Ha-du; Ha-dim,
Hadua,FALSE,ha-du-a,
Hadudu,FALSE,ha-du-du,
Hadue,FALSE,,
Haduklani,FALSE,Ha-du-uk-lá-ni,
Haduklānum,FALSE,,
Haduman,FALSE,Ha-du-ma-an,
Hadumkiašu,FALSE,,
Haduwa,FALSE,Ha-du-wa; Ha-du-e,
Haduwan,TRUE,[h]a-du-wa-an,
Haduwan,TRUE,Ha-du-wa-an,
Haduzalat,FALSE,Ha-du-za-lá-at,
Haeni,FALSE,Ha-e-ni,
Hafta,FALSE,,
Haha,FALSE,Ha-ha,
Hahaluan,TRUE,Ha-ha-lu-,
Hahaluan,TRUE,ha-ha-lu-wa-an,
Hahaluan,TRUE,ha-ha-lu-wa-an; ha-ha-lu-an,
Hahasu,FALSE,,
Hahazu,FALSE,Ha-ha-zu,
Hahhum,FALSE,,
Hahia,FALSE,ha-hi-a,
Hahiram,FALSE,Ha-hi-ra-am,
Hahua,FALSE,Ha-hu-a,
Hahuašu,FALSE,Ha-hu-wa-šu,
Hahuwašu,FALSE,ha-hu-wa-šu,
Hailawakuwa,FALSE,ha-i-lá-wa-ku-wa,
Haka,FALSE,Ha-qá,
Hakuli,FALSE,Ha-ku-li-e,
Hāl-abia,FALSE,Ha-lá-be-a,
Hāl-abum,FALSE,Ha-lá-bu-um,
Hala,FALSE,ha-lá-a,
Halab,FALSE,,
Halaba,FALSE,,
Halabium,FALSE,,
Halabum,FALSE,,
Halada,FALSE,ha-lá-da,
Halala,FALSE,,
Halali,FALSE,Ha-lá-li,
Halaliya,FALSE,,
Halania,FALSE,Ha-lá-ni-a,
Halapia,FALSE,ha-la-pì-a,
Halata,FALSE,Ha-lá-da,
Halatim,FALSE,,
Halāya,FALSE,Ha-lá-a,
Hali,FALSE,Ha-li,
Halika,FALSE,ha-li-kà,
Halikpari,FALSE,Ha-li-ik-pá-ri,
Halima,FALSE,ha-li-ma,
Halitka,FALSE,Ha-li-it-kà,
Halka,FALSE,Ha-al-kà,
Halkalia,FALSE,Ha-al-kà-li-a,
Halkia,FALSE,,
Halkiahšu,FALSE,ha-al-ki-ah-šu,
Halkiaššu,FALSE,Ha-al-ki/gi-a-šu,
Halkiašu,TRUE,ha-a[l-ki-a-šu],
Halkiašu,TRUE,ha-al-[k]i-a-šu,
Halkiašu,TRUE,Ha-al-ki-a-šu,
Halkiašu,TRUE,hal-gi-a-šu,
Halkiašu,TRUE,hal-ki5-a-šu,
Halkiašu,TRUE,hal-ki5-a[-šu],
Halkiašu,TRUE,hal!-gi-a-šu,
Halkiya,FALSE,hal-ki-ya,
Halpa,FALSE,Ha-al-pá,
Halu,FALSE,Ha-lu,
Halua,FALSE,Ha-lu-a,
Haluba,TRUE,ha-lu-ba,
Haluba,TRUE,Ha-lu-pá,
Haluli,FALSE,Ha-lu-li,
Halulu,FALSE,Ha-lu-lu-ú,
Halupa,FALSE,,
Halušta,FALSE,Ha-lu-uš-ta; Ha-lu-us-ta,
Halutašerir,FALSE,ha-lu-ta-še-ri-ir,
Hamala,FALSE,ha-ma-lá,
Hamalimali,FALSE,ha-ma-li-ma-li,
Hamanani,FALSE,Ha-ma-na-ni,
Hamananika,FALSE,ha-ma-na-ni-kà,
Hamar,FALSE,Ha-ma-ar,
Hamara,FALSE,Ha-ma-ar-a; Ha-ma-ra-a,
Hamarši,FALSE,Ha-ma-ar-ší,
Hamāya,FALSE,,
Hamhamtum,FALSE,Ha-am-ha-am-tim,
Hamiṣānum,FALSE,,
Hamištanani,FALSE,Ha-mì-iš-ta-na-ni,
Hamluni,FALSE,Ha-am-lu-ni,
Hamuria,FALSE,Ha-mu-ri-a,
Hana,FALSE,Ha-na,
Hana’a,FALSE,ha-na-a,
Hanahana,FALSE,Ha-na-ha-na,
Hanali,FALSE,ha-na-lí,
Hanana,FALSE,Ha-na-na,
Hananarum,FALSE,,
Hananārum,FALSE,,
Hanania,FALSE,,
Hananu,FALSE,,
Hananum,FALSE,,
Hanānum,FALSE,,
Hanariri,FALSE,ha-na-ri-ri,
Hanarum,FALSE,,
Hanaya,FALSE,Ha-na-a,
Hanazu,FALSE,Ha-na-zu; Ha-zu,
Hani,FALSE,Ha-ni,
Hanini,FALSE,Ha-ni-ni,
Hanna-Nārum,TRUE,Ha-na-na-ri-im,
Hanna-Nārum,TRUE,Ha-na-na-ru-um,
Hanna-Nārum,TRUE,Ha-na-na-ru-um; Ha-na-na-ri-im,
Hannanātum,FALSE,Ha-na-na-tum,
Hannānum,FALSE,Ha-na-nim,
Hanniānum,FALSE,Ha-ni-a-num/nam; Ha-an-ni-a-nu-um; Ha-ni-a-nim,
Hanu,TRUE,Ha-nu,
Hanu,TRUE,Ha-nu; Ha-nu-ú,
Hanua,FALSE,,
Hanuba,FALSE,Ha-nu-pá,
Hanudum,FALSE,,
Hanum,FALSE,ha-nu-um,
Hanuna,FALSE,,
Hanuni,FALSE,,
Hanunu,TRUE,Ha-nu-nu,
Hanunu,TRUE,Ha-nu-nu-um,
Hanunu,TRUE,Ha-nu-nu; Ha-nu-nu-um,
Hanupa,FALSE,ha-nu-pá,
Hanušaba,FALSE,Ha-nu-šu-ba,
Hanušuba,FALSE,,
Hanutum,FALSE,Ha-nu-tim,
Hanuwa,TRUE,ha-nu-wa,
Hanuwa,TRUE,Ha-nu-wa; Ha-nu-ú-a,
Hapa,TRUE,ha-pá,
Hapa,TRUE,ha-pá-a,
Hapalia,FALSE,Ha-pá-li-a,
Hapapa,FALSE,Ha-pá-pá,
Hapatali,FALSE,Ha-pá-ta-li,
Hapi’i,FALSE,ha-pí-i,
Hapia,TRUE,ha-pí-a,
Hapia,TRUE,ha-pì-a,
Hapia,TRUE,ha-pí-a; ha-pì-a,
Hapia,TRUE,Ha-pí/pì-a; Ha-a-pì-a,
Hapiahšu,TRUE,ha-bi-a-ah-šu,
Hapiahšu,TRUE,ha-pì-ah-šu,
Hapiahšušar,FALSE,ha-pí-ah-šu-šar,
Hapiašu,FALSE,,
Hapil,FALSE,,
Hapila,FALSE,Ha-pí-lá,
Hapišu,FALSE,ha-pí-šu,
Happiahšu,FALSE,,
Happuala,FALSE,,
Happuašu,FALSE,,
Happurdili,FALSE,,
Haptuniš,FALSE,Ha-áp-tù-ni-iš,
Haptunuwa,FALSE,ha-áp-tù-nu-wa,
Hapua,FALSE,ha-pu-a-<big_gap>,
Hapua-<big_gap>,FALSE,ha-pu-a-<big_gap>,
Hapuahšušar,TRUE,Ha-pu-ah-šu-šar,
Hapuahšušar,TRUE,ha-pu-wa-ah-šu-šar,
Hapuala,TRUE,[ha-]pu-a-lá; ha-pu-a-lá,
Hapuala,TRUE,Ha-pu-a-lá,
Hapuala,TRUE,ha-pu-a-lá; ha-pu-a-la,
Hapuala,TRUE,Ha-pu-a-lá; Ha-pu-wa-lá,
Hapuala,TRUE,ha-pu[-a]-lá,
Hapuama,FALSE,ha-pu-a-ma,
Hapuanika,TRUE,Ha-pu-a-ni-kà,
Hapuanika,TRUE,ha-pu-a-ni-kà; ha-wa-ni-kà,
Hapuaššu,FALSE,,
Hapuašu,FALSE,Ha-pu-a-šu,
Hapula,FALSE,ha-pu-lá,
Hapurduli,FALSE,,
Hapušar,FALSE,Ha-pu-ša-ar,
Hapuwahšušar,FALSE,,
Hapuwala,FALSE,,
Hapuwašu,TRUE,Ha-pu-a-šu; Ha-pu-wa-šu; Hi-pu-a-šu,
Hapuwašu,TRUE,ha-pu-wa-šu,
Har’aniša,FALSE,ha-ar-a-ni-ša,
Hara,FALSE,Ha-ra-a,
Harahur,FALSE,Ha-ra-hu-ur; Ha-ri-hu-ur,
Haraka,FALSE,ha-ra-kà,
Haralum,FALSE,Ha-ar-a-lim,
Haraniš,FALSE,Ha-ra-ni-iš,
Haranu,FALSE,ha-ra-ni-iš,
Harašri,FALSE,Ha-ra-áš-ri; Ha-ar-áš-ri,
Harašta,FALSE,Ha-ra-áš-ta; Ha-ra-áš-ta-an,
Haraštaili,FALSE,Ha-ra-áš-ta-DINGIR,
Haraštal,FALSE,ha-ra-áš-ta-al,
Haraštan,FALSE,ha-ra-áš-ta-an,
Harašu,FALSE,Ha-ar-a-šu,
Harawaria,FALSE,Ha-ar-a-wa-ri-a,
Haraya,FALSE,,
Harbadiwa,FALSE,har-ba-di-wa,
Harbuidwa,FALSE,har-bu-id-wa,
Hardu,FALSE,Ha-ar-du,
Harharan,TRUE,Ha-ar-ha-ar-an,
Harharan,TRUE,ha-ar-ha-ra-an,
Harhia,TRUE,Ha-ar-hi-a,
Harhia,TRUE,ha-ar-hi-a; [h]a-ar-hi-a,
Haribi,FALSE,ha-ri-bi,
Harima,FALSE,Ha-ri-ma,
Harimi,FALSE,Ha!-ri-mi,
Harimtum,FALSE,,
Harina,FALSE,Ha-ri-na,
Hariššali,FALSE,Ha-ri-iš/eš-ša-li,
Harka,FALSE,Ha-ar-kà-a,
Harkiwana,FALSE,ha-ar-ki-wa-na,
Harla,TRUE,ha-ar-lá,
Harla,TRUE,Ha-ar-lá/la,
Harladi,FALSE,Ha-ar-lá-tí,
Harlu,FALSE,Ha-ar-lu-ú,
Harlulu,FALSE,Ha-ar-lu-lu,
Harna,FALSE,Ha-ar-na,
Harnašar,FALSE,har-na-ša-ar,
Harnašarna,FALSE,Ha-ar-na-šar-na,
Harpatal,FALSE,Ha-ar-pá-tal,
Harpatiwa,FALSE,Ha-ar-pá-tí-wa,
Harpuitwa,FALSE,Ha-ar-pu-i[t]-wa,
Harš(umn)uman,FALSE,ha-ar-šu-ma-an; ha-ar-šu-um-nu-ma-an,
Harša,TRUE,ha-ar-ša,
Harša,TRUE,ha-ar-ša-a,
Harša,TRUE,Ha-ar-ša; Ha-ar-ša-a; Ha-ar-ší,
Harša,TRUE,ha-ar-ší; ha-ar-ša,
Harša’a,FALSE,ha-ar-ša-a,
Haršala,FALSE,,
Haršanalum,FALSE,Ha-ar-ša-na-lim,
Harši,TRUE,ha-ar-š[í]; ha-ar-ší,
Harši,TRUE,ha-ar-ší; ha-ar[-ší],
Haršia,FALSE,Ha-ar-ší-a,
Haršu,FALSE,ha-ar-šu,
Haršula,FALSE,Ha-ar-šu-lá,
Haršumalka,FALSE,Ha-ar-šu-ma-al-kà,
Haršuman,FALSE,ha-ar-šu-ma-an,
Haršume,FALSE,ha-ar-šu-me,
Haršumilka,FALSE,ha-ar-šu-mì-il5-kà,
Haršumnahšu,FALSE,Ha-ar-šu-um-na-ah-šu,
Haršumnalka,FALSE,ha-ar-šu-um-na-al-kà,
Haršumnuman,TRUE,ha-ar-šu-um-nu-ma-an,
Haršumnuman,TRUE,Ha-ar-šu-um-nu-ma-an; Ha-ar-šu-nu-ma-an; Hu-ur-šu-nu-ma-an,
Haršunuman,TRUE,ha-ar-šu-nu-ma-an,
Haršunuman,TRUE,ha-ar-šu-nu-ma-an; ha-ar-[su-...],
Harta,FALSE,ha-ar-tù,
Hartanali,FALSE,Ha-ar-ta-na-li,
Hartu,FALSE,ha-ar-tù,
Harubi,FALSE,Ha-ru-bi/be,
Haruhul,FALSE,Ha-ru-hu-ul; Ha-ru-hu-ur,
Haruhur,FALSE,ha-ru-hu-ur,
Haruwašia,FALSE,Ha-ru-wa-ší-a,
Harza,FALSE,ha-ar-za,
Harziawuna,FALSE,Ha-ar-zi-wu-na,
Harzika,FALSE,har-zi-ka,
Harzila,FALSE,Ha-ar-zi-lá,
Haṣabṣilim,FALSE,,
Hašahšušar,FALSE,ha-ša-ah-šu-ša-ar,
Hašaiškuwama,FALSE,Ha-ša-iš-ku-wa-ma,
Hašanšarnawa,FALSE,Ha-ša-an-ša-ar-na-wa,
Hašantarnawa,FALSE,ha-ša-an-ta-ar-na-wa,
Hasanum,FALSE,,
Hašarti,FALSE,Ha-ša-ar-tí,
Hašhaurra,FALSE,Ha-áš-ha-ur-ra,
Hašim-nawar,FALSE,Ha-ší-im-na-wa-ar,
Hašimnawar,FALSE,ha-ší-im-na-wa-ar-ma,
Hašiuman,FALSE,Ha-ší-ú-ma-an,
Hašra,FALSE,Ha-áš-ra-a,
Hašši,FALSE,ha-ši,
Haštahšu,FALSE,Ha-áš-ta-ah-šu,
Haštahšušar,TRUE,ha-áš-<ta->ah-šu-šar,
Haštahšušar,TRUE,ha-áš-ta-ah-šu-ša-ar,
Haštaili,FALSE,Ha-áš-ta-li,
Haštali,FALSE,ha-áš-ta-li,
Haštašu,FALSE,ha-áš-ta-šu,
Haštati,FALSE,Ha-áš-ta-tí,
Hašu-<gap>,FALSE,ha-šu-x,
Hašu’uman,FALSE,ha-šu-ú-ma-an,
Hašua,FALSE,ha-šu-a,
Hašuara,FALSE,Ha-šu-a-ra,
Hašudar,FALSE,Ha-šu-tár,
Hašue,FALSE,ha-šu-e,
Hasui,FALSE,ha-šu-i,
Hašui,TRUE,ha-š[u-i],
Hašui,TRUE,ha-š[u-i]; ha-šu-i; ha-šu!,
Hašui,TRUE,Ha-šu-i,
Hašui,TRUE,ha-šu-i; h[a-šu]-i,
Hašui,TRUE,ha-šu!,
Hašui,TRUE,ha-šu[-i],
Hašui,TRUE,ha-šu[-i]; [h]a-šu-i,
Hašuili,FALSE,Ha-šu-ì-lí,
Hašuman,FALSE,ha-šu-ú-ma-an,
Hašuna,FALSE,ha-šu-na,
Hašušahšu,FALSE,ha-šu-ša-ah-šu,
Hašušar,TRUE,ha-šu-š[ar],
Hašušar,TRUE,Ha-šu-šar,
Hašušara,FALSE,ha-šu-ša-ra,
Hašušarna,TRUE,ha-šu-ša-ar-na,
Hašušarna,TRUE,Ha-šu-šar-na,
